filename,categories,sub_categories,IdMappings-bindata,IdMappings-borderfills,IdMappings-bullets,IdMappings-charshapes,IdMappings-cn-fonts,IdMappings-en-fonts,IdMappings-jp-fonts,IdMappings-ko-fonts,IdMappings-memoshapes,IdMappings-numberings,IdMappings-other-fonts,IdMappings-parashapes,IdMappings-styles,IdMappings-symbol-fonts,IdMappings-tabdefs,IdMappings-user-fonts,Style-local-name,PageDef-attr,PageDef-bookbinding,PageDef-bookbinding-offset,PageDef-bottom-offset,PageDef-footer-offset,PageDef-header-offset,PageDef-height,PageDef-left-offset,PageDef-orientation,PageDef-right-offset,PageDef-top-offset,PageDef-width,DocumentProperties-character-unit-loc-in-paragraph,DocumentProperties-endnote-startnum,DocumentProperties-footnote-startnum,DocumentProperties-list-id,DocumentProperties-math-startnum,DocumentProperties-page-startnum,DocumentProperties-paragraph-id,DocumentProperties-picture-startnum,DocumentProperties-section-count,DocumentProperties-table-startnum,FaceName-enname,FaceName-koname,PageBorderFill-borderfill-id,PageBorderFill-fill,PageBorderFill-flags,PageBorderFill-include-footer,PageBorderFill-include-header,PageBorderFill-margin-bottom,PageBorderFill-margin-left,PageBorderFill-margin-right,PageBorderFill-margin-top,PageBorderFill-relative-to,Numbering-align,Numbering-auto-indent,Numbering-auto-width,Numbering-charshape-id,Numbering-flags,Numbering-numbering-format,Numbering-space,Numbering-space-type,Numbering-starting-number,Numbering-unknown,Numbering-width-correction
20190430[고려대]2021학년입학전형발표.hwp.xml,0.0,-1.0,2.0,7.0,0.0,31.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,26.0,28.0,12.0,2.0,10.0,0.001302849244260985,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,14.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.02527459051908515,-0.5263582579749945,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20190516[고려대]결핵과가난의방정식으로본97년금융위기와한국사회불평등의극적변화.hwp.xml,0.0,-1.0,3.0,7.0,1.0,42.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,31.0,28.0,12.0,2.0,10.0,0.0013028492442630861,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,11.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025274590519079727,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20190517[고려대]“한국과본국가교역할민간홍보대사로성장하길”.hwp.xml,0.0,-1.0,2.0,7.0,0.0,29.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,26.0,28.0,12.0,2.0,10.0,0.0013028492442630746,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,12.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20190621[고려대]긴장에서화해로가는길.hwp.xml,0.0,-1.0,2.0,7.0,0.0,26.0,13.0,14.0,13.0,11.0,0.0,0.0,11.0,27.0,28.0,12.0,2.0,10.0,0.0013028492442630794,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,13.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
"20190811[고려대]강재우교수팀,식재료조합을추천하는인공지능개발.hwp.xml",0.0,-1.0,2.0,7.0,0.0,25.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,26.0,28.0,12.0,2.0,10.0,0.0013028492442630798,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,13.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20190812[고려대]금융데이터·은행업무분야특화된기계학습모형설명력검증.hwp.xml,0.0,-1.0,2.0,7.0,0.0,25.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,27.0,28.0,12.0,2.0,10.0,0.0013028492442630798,0.0,0.0,0.0,3118.0,3118.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,14.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
"20190905[고려대]석림회,2019학년도2학기장학증서수여.hwp.xml",0.0,-1.0,2.0,7.0,0.0,30.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,27.0,28.0,12.0,2.0,10.0,0.0013028492442630798,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,8.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20191024[고려대]역사를공부하는후배들위해귀히쓰이길바라며”.hwp.xml,0.0,-1.0,2.0,7.0,0.0,27.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,26.0,28.0,12.0,2.0,10.0,0.0013028492442630798,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,11.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20191029[고려대]글로벌블록체인기업리플社로부터수백만불규모과제수주.hwp.xml,0.0,-1.0,2.0,7.0,0.0,29.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,26.0,28.0,12.0,2.0,10.0,0.0013028492442630798,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,13.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20191209[고려대]세계적석학들과함께하는‘공학기반지속가능한개발’.hwp.xml,0.0,-1.0,2.0,7.0,0.0,28.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,26.0,28.0,12.0,2.0,10.0,0.0013028492442630798,0.0,0.0,0.0,4251.0,4251.0,6519.0,84188.0,5669.0,1.0,5669.0,3685.0,59528.0,13.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
20191212[고려대]당뇨병치료가능성및동물실험대체가능성열어.hwp.xml,0.0,-1.0,4.0,7.0,0.0,31.0,12.0,14.0,12.0,11.0,0.0,0.0,11.0,26.0,28.0,12.0,2.0,10.0,0.0013028492442630798,0.0,0.0,0.0,3685.0,4251.0,6519.0,84188.0,4818.0,1.0,4818.0,3685.0,59528.0,13.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025274590519079706,-0.5263582579750045,1.0,0.0,1.0,0.0,0.0,1417.0,1417.0,1417.0,1417.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0
